text,intent,slot_tags
"what is the start date, duration, and pricing of the data structures and algorithms: deep dive using java course?",details,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-course_name', 'O', 'O', 'O', 'B-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'O', 'O']"
when do the kids get out of school today,oos,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
tootles,courtesy,['O']
"describe the automating networks with python course to me, including its level, duration.",details,"['O', 'O', 'B-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
you are so nice to think of me,courtesy,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
does the beginners guide into python : become a master at python course have good reviews? what is the rating?,details,"['O', 'O', 'B-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
does the survival python course have a certification?,details,"['O', 'O', 'B-course_name', 'I-course_name', 'O', 'O', 'O', 'B-certified', 'O']"
rent the tuxedo the day before,oos,"['O', 'O', 'O', 'O', 'O', 'O']"
is cnn really fake news,oos,"['O', 'O', 'O', 'O', 'O']"
can you tell me if the add-on is suitable for beginners?,details,"['O', 'O', 'O', 'O', 'O', 'O', 'B-course_name', 'O', 'O', 'O', 'O', 'O']"
there is a rating of 4.5 on the lpic-2 certification courses from mathworks.,recommend,"['O', 'O', 'O', 'O', 'O', 'B-rating', 'O', 'O', 'B-topic', 'I-topic', 'O', 'O', 'B-institution', 'O']"
please give me a listing of all the bottled water brands in the area,oos,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
how is ford's stock doing,oos,"['O', 'O', 'O', 'O', 'O', 'O']"
are there any ibm bootstrap courses rated by 1000 students that you can recommend?,recommend,"['O', 'O', 'O', 'B-institution', 'B-topic', 'O', 'O', 'O', 'B-num_rating', 'O', 'O', 'O', 'O', 'O', 'O']"
how long is the become a node.js developer:/node.js/express.js/mongodb/api course?,details,"['O', 'O', 'O', 'O', 'B-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'O', 'O']"
"i want to know more about the global information technology outlook class, including the course link and the provider.",details,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
i want to know how you are doing,courtesy,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
can you tell me when i can enroll in the course?,details,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-course_name', 'I-course_name', 'O']"
can you recommend a beginner course that has a rating of less than 3.8?,recommend,"['O', 'O', 'O', 'O', 'B-level', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-rating', 'I-rating', 'O']"
i'm looking for courses that have been reviewed by more than 1500 people.,recommend,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-num_rating', 'I-num_rating', 'I-num_rating', 'O', 'O']"
"that answer was very helpful, thanks",courtesy,"['O', 'O', 'O', 'O', 'O', 'O', 'O']"
do you know if there are any security bsides courses that have a rating of high?,recommend,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-topic', 'I-topic', 'O', 'O', 'O', 'O', 'O', 'O', 'B-rating', 'O']"
can a samurai sword deflect a bullet,oos,"['O', 'O', 'O', 'O', 'O', 'O', 'O']"
what is the duration and pricing of the course?,details,"['O', 'O', 'O', 'O', 'B-course_name', 'O', 'O', 'O', 'O', 'O']"
how do i register for the course?,details,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
hi! are you doing okay,courtesy,"['O', 'O', 'O', 'O', 'O', 'O']"
did a man really die trying to be loved by a horse,oos,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
what is the deadline to enroll in the learn internet of things on cloud course?,details,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'O', 'O']"
i like the courses you suggested. can you recommend another $7067 beginner course?,recommend,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-pricing', 'I-pricing', 'B-level', 'O', 'O']"
is there a course with a duration of 2 months and a rating of low on the web?,recommend,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-duration', 'I-duration', 'O', 'O', 'O', 'O', 'B-rating', 'O', 'O', 'O', 'O']"
what is the time signature for the castlevania song bloody tears,oos,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
give me a list of tax attorneys that practice in my city,oos,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"hi there, how are you doing",courtesy,"['O', 'O', 'O', 'O', 'O', 'O', 'O']"
hi how are you,courtesy,"['O', 'O', 'O', 'O']"
tell me about that kind of cameras,oos,"['O', 'O', 'O', 'O', 'O', 'O', 'O']"
i'm looking for a course with a certification that lasts for a long time.,recommend,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-certified', 'O', 'O', 'O', 'O', 'B-duration', 'O', 'O']"
thanks for the info,courtesy,"['O', 'O', 'O', 'O']"
can you tell me about the pricing and start date of the course?,details,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
how can i register for the video game development course?,details,"['O', 'O', 'O', 'O', 'B-course_name', 'O', 'I-course_name', 'I-course_name', 'I-course_name', 'O', 'O']"
what steps do i need to take to enroll in the course?,details,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
later gater,courtesy,"['O', 'O']"
what are the best-rated courses that cost $2534?,recommend,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-pricing', 'I-pricing', 'O']"
hi how is everything,courtesy,"['O', 'O', 'O', 'O']"
can you recommend a certified beginner course?,recommend,"['O', 'O', 'O', 'O', 'B-certified', 'B-level', 'O', 'O']"
how many items are in a bakers dozen,oos,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
i would like an advanced level course on az-400: designing and microsoft implementing devops solutions that lasts 4 weeks and has a rating of 5 or better.,recommend,"['O', 'O', 'O', 'O', 'B-level', 'O', 'O', 'O', 'B-topic', 'I-topic', 'I-topic', 'I-topic', 'I-topic', 'I-topic', 'I-topic', 'I-topic', 'O', 'O', 'B-duration', 'I-duration', 'I-topic', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
how do i enroll in the java programming: intermediate course?,details,"['O', 'O', 'O', 'O', 'O', 'O', 'B-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'O', 'O']"
can you see the second right inside the fridge,oos,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
what is the difficulty level of the guided project: learn javascript with rock-paper-scissors v2 course? is it self-paced and what is the start date?,details,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
i would like to know more about the certification of the class.,details,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-certified', 'O', 'O', 'O', 'O']"
"i want to know the start date, level, and pricing of the course.",details,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
suggest a intermediate level course on programming with a start date of august 20 and a rating of greater than 4.0.,recommend,"['O', 'O', 'B-level', 'O', 'O', 'O', 'B-topic', 'O', 'O', 'O', 'O', 'O', 'B-start_date', 'I-start_date', 'O', 'O', 'O', 'O', 'B-rating', 'I-rating', 'I-rating', 'O']"
does bill gates still have any material participation in the running of microsoft,oos,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
i'm so glad you helped me!,courtesy,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
what is the main cause of becoming homeless,oos,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
thank you a lot for that answer,courtesy,"['O', 'O', 'O', 'O', 'O', 'O', 'O']"
"suggest some courses with good reviews by more than 1500 students, offered by pluralsight, with a duration of short and a rating of high.",recommend,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-num_rating', 'I-num_rating', 'I-num_rating', 'O', 'O', 'O', 'O', 'B-provider', 'O', 'O', 'O', 'O', 'O', 'B-duration', 'O', 'O', 'O', 'O', 'B-rating', 'O']"
what courses are available with a start date of july 15 and a rating of low?,recommend,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-start_date', 'I-start_date', 'O', 'O', 'O', 'O', 'B-rating', 'O']"
is it possible to provide the course outline for the course?,details,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
do vegans really want to blame cows for climate change,oos,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
can you tell me about the certification of the course?,details,"['O', 'O', 'O', 'O', 'O', 'O', 'B-certified', 'O', 'O', 'O', 'O']"
you were so kind to do that,courtesy,"['O', 'O', 'O', 'O', 'O', 'O', 'O']"
are any earning reports due,oos,"['O', 'O', 'O', 'O', 'O']"
are there any courses that are rated less than 500 students that you can recommend?,recommend,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-num_rating', 'I-num_rating', 'I-num_rating', 'O', 'O', 'O', 'O', 'O', 'O']"
"that's all i need, thanks!",courtesy,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
is it possible to recommend a course with a start date of july 15 and a rating of above 3.5 from futurelearn?,recommend,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-start_date', 'I-start_date', 'O', 'O', 'O', 'O', 'B-rating', 'I-rating', 'O', 'B-provider', 'O']"
is there a certified intermediate course on c++ that is offered by pluralsight and costs $7880?,recommend,"['O', 'O', 'O', 'B-certified', 'B-level', 'O', 'O', 'B-topic', 'O', 'O', 'O', 'O', 'B-provider', 'O', 'O', 'B-pricing', 'I-pricing', 'O']"
do you have any microsoft azure courses with a rating of high offered by futurelearn that are priced at $6859?,recommend,"['O', 'O', 'O', 'O', 'B-topic', 'I-topic', 'O', 'O', 'O', 'O', 'O', 'B-rating', 'O', 'O', 'B-provider', 'O', 'O', 'O', 'O', 'B-pricing', 'I-pricing', 'O']"
"nice talk, talk to you later",courtesy,"['O', 'O', 'O', 'O', 'O', 'O', 'O']"
see you around,courtesy,"['O', 'O', 'O']"
thanks for the help!,courtesy,"['O', 'O', 'O', 'O', 'O']"
is it possible to take a certified intermediate course on javascript for $9184?,recommend,"['O', 'O', 'O', 'O', 'O', 'O', 'B-certified', 'B-level', 'O', 'O', 'B-topic', 'O', 'B-pricing', 'I-pricing', 'O']"
until next time!,courtesy,"['O', 'O', 'O', 'O']"
tell me how you've been,courtesy,"['O', 'O', 'O', 'O', 'O', 'O']"
there are courses that have a duration of more than 3 months.,recommend,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-duration', 'I-duration', 'I-duration', 'I-duration', 'O']"
it was great talking to you,courtesy,"['O', 'O', 'O', 'O', 'O', 'O']"
what is today's big article in the washington post,oos,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
what are the hours for disney world,oos,"['O', 'O', 'O', 'O', 'O', 'O', 'O']"
is it possible to recommend a certified intermediate course on linux?,recommend,"['O', 'O', 'O', 'O', 'O', 'O', 'B-certified', 'B-level', 'O', 'O', 'B-topic', 'O']"
is there any python courses offered by skillshare with a start date of june 1 and a rating of 5.0?,recommend,"['O', 'O', 'O', 'B-topic', 'O', 'O', 'O', 'B-provider', 'O', 'O', 'O', 'O', 'O', 'B-start_date', 'I-start_date', 'O', 'O', 'O', 'O', 'B-rating', 'O']"
"can you really time your compressions to queen's ""another one bites the dust""",oos,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
i would like to enroll in the ibm machine learning course.,details,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-course_name', 'I-course_name', 'I-course_name', 'O', 'O']"
thanks for the reply,courtesy,"['O', 'O', 'O', 'O']"
where is the colosseum,oos,"['O', 'O', 'O', 'O']"
what courses have a rating of low and a duration of less than 4 months?,recommend,"['O', 'O', 'O', 'O', 'O', 'O', 'B-rating', 'O', 'O', 'O', 'O', 'B-duration', 'I-duration', 'I-duration', 'I-duration', 'O']"
take it easy!,courtesy,"['O', 'O', 'O', 'O']"
thank you ever so much for that!,courtesy,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
what unreal engine courses have 1000 reviews and are self paced?,recommend,"['O', 'B-topic', 'I-topic', 'O', 'O', 'B-num_rating', 'O', 'O', 'O', 'B-duration', 'I-duration', 'O']"
how many elements are on the periodic table,oos,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
what is the warranty on my microwave,oos,"['O', 'O', 'O', 'O', 'O', 'O', 'O']"
what is the best way for dealing with the airport,oos,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
i am glad that you did that,courtesy,"['O', 'O', 'O', 'O', 'O', 'O', 'O']"
thank you for the help,courtesy,"['O', 'O', 'O', 'O', 'O']"
king of acid,oos,"['O', 'O', 'O']"
is there a fee for the applied artificial intelligence: natural language processing course?,details,"['O', 'O', 'O', 'O', 'O', 'O', 'B-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'O', 'O']"
see you in a while,courtesy,"['O', 'O', 'O', 'O', 'O']"
i would like to know more about the duration and rating of the course.,details,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
i appreciate the help,courtesy,"['O', 'O', 'O', 'O']"
is the course self-paced?,details,"['O', 'O', 'O', 'O', 'O']"
what steps do i need to take to enroll in the az-303 part 5 - preparing for the microsoft azure architect technologies exam course? can you also provide details about its pricing?,details,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-course_name', 'B-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
what wireshark courses with a rating of less than 3.8 can you recommend?,recommend,"['O', 'B-topic', 'O', 'O', 'O', 'O', 'O', 'O', 'B-rating', 'I-rating', 'O', 'O', 'O', 'O']"
what do i wear on my feet when it rains,oos,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
hey there!,courtesy,"['O', 'O', 'O']"
how much does gun ammunition cost,oos,"['O', 'O', 'O', 'O', 'O', 'O']"
how can i sign up for the class?,details,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
does anyone know if there are any computer science courses that have a start date of august 20 and a rating of less than 3.8?,recommend,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-topic', 'I-topic', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-start_date', 'I-start_date', 'O', 'O', 'O', 'O', 'O', 'B-rating', 'I-rating', 'O']"
what are the top rated local lawyers,oos,"['O', 'O', 'O', 'O', 'O', 'O', 'O']"
how much sugar was in my urine this morning,oos,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
where was john denver born,oos,"['O', 'O', 'O', 'O', 'O']"
what are my local news stations,oos,"['O', 'O', 'O', 'O', 'O', 'O']"
what does my personality mean,oos,"['O', 'O', 'O', 'O', 'O']"
can you give me more details on the course that has a high rating?,details,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
are you able to find me an intermediate course with a 6 months 3 weeks duration?,recommend,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-level', 'O', 'O', 'O', 'B-duration', 'I-duration', 'I-duration', 'I-duration', 'O', 'O']"
i'm looking for a course that has a 4.5 rating from coursera.,recommend,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-rating', 'O', 'O', 'B-provider', 'O']"
thanks a lot,courtesy,"['O', 'O', 'O']"
what is the deadline to enroll in the rust for devops course? can you provide information on its duration?,details,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-course_name', 'I-course_name', 'I-course_name', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
who invented custardo,oos,"['O', 'O', 'O']"
i am looking for a course that has a rating of five or more.,recommend,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
what is the process to enroll in the course?,details,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
i am thankful for the answer,courtesy,"['O', 'O', 'O', 'O', 'O', 'O']"
i need to get kalee added to my phone plan,oos,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
the topics covered in the c# for unity game development course could be explained by you.,details,"['O', 'O', 'O', 'O', 'O', 'B-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
which courses would you recommend if you wanted to learn robotic process automation?,recommend,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-topic', 'I-topic', 'I-topic', 'O']"
create emergency phone numbers list,oos,"['O', 'O', 'O', 'O', 'O']"
"i enjoyed our talk, goodbye",courtesy,"['O', 'O', 'O', 'O', 'O', 'O']"
i'm happy with your answer,courtesy,"['O', 'O', 'O', 'O', 'O', 'O']"
hiya,courtesy,['O']
alexander amini has a rating of low for the best elasticsearch course.,recommend,"['B-institution', 'I-institution', 'O', 'O', 'O', 'O', 'B-rating', 'O', 'O', 'O', 'B-topic', 'O', 'O']"
can you recommend a certified advanced course for me?,recommend,"['O', 'O', 'O', 'O', 'B-certified', 'B-level', 'O', 'O', 'O', 'O']"
what are the costs of creating a texture test?,details,"['O', 'O', 'O', 'O', 'O', 'B-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'O']"
how can i register for the traffic analysis with yolov8 and bytetrack - vehicle detection and tracking course?,details,"['O', 'O', 'O', 'O', 'O', 'O', 'B-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'O', 'O']"
thank you for your time and trying to help,courtesy,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
find out where i can buy a barbie doll for my niece,oos,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
what is the start date for the time series analysis and forecasting with python course?,details,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'O', 'O']"
find an article on celebrities who made it out of poverty,oos,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"i had a pleasure talking to you, see you later",courtesy,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
how safe is the herpes vaccine they give women,oos,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
how are you today,courtesy,"['O', 'O', 'O', 'O']"
i'm looking for courses that will cost $2926 and have 2000 people review them.,recommend,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-pricing', 'I-pricing', 'O', 'O', 'B-num_rating', 'O', 'O', 'O', 'O']"
"i enjoyed talking to you, bye",courtesy,"['O', 'O', 'O', 'O', 'O', 'O', 'O']"
"i'm curious about the duration and rating of the comprehensive python beautiful soup web scraping tutorial - find- find all,css select, scrape table course.",details,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'O', 'O', 'O', 'I-course_name', 'I-course_name', 'I-course_name', 'I-course_name', 'O', 'O']"
tell me who aphrodite is,oos,"['O', 'O', 'O', 'O', 'O']"
switch over to low power mode to preserve battery life,oos,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
is the data structure certified by the course?,details,"['O', 'O', 'B-course_name', 'I-course_name', 'B-certified', 'O', 'O', 'O', 'O']"
cya later,courtesy,"['O', 'O']"
where is the best place to mine for gold,oos,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
who is the hardest working man in hollywood,oos,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
how can i join the course?,details,"['O', 'O', 'O', 'O', 'O', 'O', 'O']"
i'm interested in a self paced course on heroku.,recommend,"['O', 'O', 'O', 'O', 'O', 'B-duration', 'I-duration', 'O', 'O', 'B-topic', 'O']"
